# Web server load statistics 
# Plot parameters follow:
#
# set title "Web server activity"
# set xlab  "time (min)"
# set ylab  "load avg"
# set ymin  0.0
# set ymax  5.0
# set dx    0.083333
# set nfilt 128
#
# Machines: dejanews dejanews3 dejanews4 dejanews5

170 2.43 1.78 0.95 2.96
171 2.39 1.71 0.88 2.73
172 2.45 1.58 0.80 2.99
173 2.25 1.45 0.82 2.83
174 2.23 1.34 0.75 2.60
175 2.21 1.55 0.77 2.47
176 2.11 1.42 0.79 2.36
177 1.94 1.39 0.73 2.57
178 1.95 1.52 0.83 2.17
179 2.11 1.43 0.76 2.00
180 2.18 1.39 0.70 2.00
181 2.00 1.36 0.74 2.24
182 1.84 1.25 0.68 2.30
183 1.70 1.15 0.86 2.59
184 1.56 1.14 0.88 2.62
185 1.43 1.13 0.80 2.41
186 1.56 1.20 0.90 2.30
187 1.43 1.26 0.83 2.12
188 1.56 1.16 0.92 2.03
189 1.59 1.46 0.85 1.71
190 1.73 1.34 0.94 1.66
191 1.60 1.24 0.88 1.93
192 1.55 1.14 1.04 2.25
193 1.91 1.05 1.04 2.15
194 1.83 0.96 1.04 2.38
195 1.77 0.88 0.95 2.19
196 1.62 0.81 1.12 2.17
197 1.57 0.99 1.11 2.16
198 1.45 0.91 1.10 2.05
199 1.22 0.91 1.01 1.88
200 1.12 0.92 0.86 2.37
201 1.04 0.85 1.02 2.18
202 0.95 0.86 1.10 2.09
203 0.88 0.95 1.02 1.92
204 0.80 0.88 0.93 1.84
205 1.06 0.80 0.86 1.70
206 1.05 1.14 0.79 1.64
207 0.97 1.05 0.73 1.46
208 0.82 0.89 0.75 1.43
209 1.07 0.81 1.00 1.47
210 1.15 0.99 0.92 1.43
211 1.14 0.91 0.84 1.48
212 1.04 0.84 1.02 1.52
213 1.04 0.77 0.93 1.80
214 0.96 1.03 0.86 2.38
215 1.36 1.02 1.19 2.58
216 1.25 0.94 1.18 2.27
217 1.06 0.87 1.08 2.16
218 0.97 1.12 0.91 1.99
219 0.89 1.03 0.84 1.83
220 0.98 0.95 0.77 1.77
221 0.98 1.19 0.79 2.34
222 1.07 1.25 1.13 3.60
223 1.14 1.23 1.04 3.31
224 1.05 1.14 0.95 3.20
225 1.04 1.04 0.88 3.18
226 1.04 1.57 1.05 3.17
227 1.04 1.45 1.04 3.55
228 1.59 1.41 0.96 3.27
229 1.47 1.38 0.88 3.97
230 1.35 1.27 1.05 4.61
231 1.24 1.40 1.13 5.12
232 1.38 1.85 1.04 4.87
233 1.43 1.70 0.95 4.64
234 1.32 1.57 1.04 4.27
235 1.21 1.44 1.04 3.93
236 1.02 1.69 1.04 3.70
237 1.66 1.71 0.95 4.12
238 1.69 1.57 0.88 3.79
239 1.55 1.53 0.80 3.49
240 1.43 1.41 0.74 3.61
241 1.39 1.29 0.84 3.56
242 2.24 1.67 1.17 3.27
243 2.06 1.70 1.08 3.25
244 2.06 1.56 0.99 3.15
245 1.89 1.72 0.91 2.81
246 1.75 1.58 0.92 2.83
247 1.77 1.54 0.86 2.92
248 1.71 1.41 1.19 2.93
249 1.73 1.30 1.25 2.85
250 1.75 1.19 1.15 2.62
251 1.61 1.66 1.06 3.05
252 1.48 1.52 0.97 3.05
253 1.52 1.56 0.98 3.04
254 1.72 1.44 0.90 2.88
255 1.58 1.80 0.92 3.29
256 1.45 1.84 0.93 3.34
257 1.30 1.78 0.85 3.23
258 1.28 1.79 0.86 3.78
259 1.34 1.73 0.88 3.48
260 1.31 1.59 0.88 3.52
261 1.29 1.46 0.81 3.23
262 1.34 1.34 0.75 3.46
263 1.23 1.24 1.03 3.18
264 1.29 1.29 1.19 3.31
265 1.17 1.26 1.09 3.04
266 1.07 1.16 1.09 2.80
267 1.23 1.07 1.08 2.66
268 1.45 0.98 0.99 2.60
269 1.41 0.90 1.07 2.39
270 1.38 0.99 0.91 2.28
271 1.70 0.98 0.83 2.38
272 1.56 0.98 0.77 2.27
273 2.00 1.07 0.95 2.89
274 1.91 1.22 0.87 3.14
275 2.08 1.12 0.96 2.96
276 2.07 1.19 0.96 2.73
277 1.99 1.10 0.88 2.75
278 2.23 1.01 0.97 3.09
279 2.13 1.17 0.90 2.84
280 2.12 1.07 0.99 3.82
281 2.32 0.91 1.07 3.52
282 2.46 0.84 1.14 3.23
283 2.26 0.77 1.05 3.21
284 2.16 0.71 0.97 3.28
285 1.98 0.89 0.89 3.41
286 2.23 0.98 1.22 3.54
287 2.05 0.90 1.12 3.26
288 2.12 0.83 1.35 3.08
289 1.95 0.84 1.32 2.83
290 1.80 0.93 1.12 3.00
291 1.59 1.10 1.43 3.77
292 1.62 1.01 1.55 3.54
293 1.73 0.93 2.07 3.42
294 1.59 0.86 1.90 3.23
295 1.55 1.03 1.75 3.29
296 1.90 0.95 1.61 3.10
297 1.75 0.87 1.48 2.93
298 1.61 0.96 1.36 2.86
299 1.48 0.96 1.41 3.19
300 1.60 1.05 1.34 3.02
301 1.57 0.96 1.32 2.79
302 1.53 0.89 1.21 2.88
303 1.65 0.98 1.19 2.89
304 1.75 0.90 1.26 2.82
305 2.02 0.82 1.55 2.75
306 2.01 0.76 1.51 2.53
307 1.85 0.86 1.71 2.33
308 2.10 0.95 1.57 2.22
309 2.18 0.87 1.53 2.04
310 2.08 0.88 1.64 2.20
311 1.99 0.75 1.47 1.93
312 1.83 0.77 1.51 1.94
313 1.68 0.86 1.39 1.79
314 1.55 0.88 1.28 1.64
315 1.42 0.80 1.18 1.67
316 1.31 0.82 1.16 1.54
317 1.68 1.15 1.07 1.41
318 1.95 1.38 1.54 1.30
319 1.87 1.35 1.39 1.20
320 1.72 1.32 1.36 1.50
321 1.82 1.28 1.25 1.64
322 1.94 1.18 1.55 1.59
323 1.79 1.16 1.74 1.54
324 1.72 1.15 1.76 1.57
325 1.66 1.05 1.78 1.77
326 1.61 0.97 1.64 1.71
327 1.48 1.21 1.51 1.65
328 1.76 1.60 1.55 1.60
329 1.62 1.47 1.50 2.03
330 1.73 1.35 1.34 2.18
331 1.75 1.32 1.23 2.16
332 1.93 1.12 1.14 2.39
333 1.78 1.03 1.12 2.36
334 1.88 0.95 1.04 2.25
335 1.80 0.87 1.11 2.47
336 1.66 0.80 1.42 2.35
337 1.52 0.73 1.31 2.40
338 1.56 0.68 1.20 2.29
339 1.76 0.94 1.86 2.09
340 1.70 0.95 1.79 2.24
341 1.75 0.80 1.65 2.06
342 1.77 0.73 1.52 2.06
343 1.62 0.76 1.39 2.05
344 1.57 0.86 1.28 1.89
345 1.69 0.87 1.50 1.90
346 1.71 0.80 1.38 1.98
347 1.66 0.73 1.51 2.39
348 1.52 0.67 1.55 2.20
349 1.48 0.62 1.38 2.08
350 1.44 0.57 1.27 2.08
351 1.33 0.77 1.65 2.23
352 1.34 0.64 1.92 2.13
353 1.32 0.59 1.84 2.44
354 1.29 0.62 1.70 2.57
355 1.59 0.66 1.56 2.60
