%eval_id interface              w              t              L              p              E              X              Y           mass         stress   displacement 
40           NO_ID    0.861871649    1.466593495    8.135446175    493.8952264    27238255.27    8.319633983    5.951578202     2.93917074     6508.34573 0.000721699837 
41           NO_ID    1.199044859    1.084458898    13.38134596    478.0190926    25993197.81    4.296981005    14.34673882     4.81337649     7757.99867  0.00356152644 
42           NO_ID   0.8355261921   0.9658170529    10.49118713    511.7631594    26364638.42    6.539144176    6.342260992     2.50729164      10701.655   0.0025128096 
43           NO_ID    1.481489442      1.4327472    8.559742583    499.6845197    31008349.54    3.575418768    11.09297701     5.25389018     2870.77579 0.000215125394 
44           NO_ID   0.8816100289   0.8149046295    11.08120137    539.9923626    24711034.49    8.976710101    7.910489101     2.48779181     16610.7942  0.00508676882 
45           NO_ID    1.391945335    1.092483714    8.881236763    491.0093259    25379170.86    7.292999702     5.39440702     3.83757258     4015.51607 0.000427053508 
46           NO_ID    1.025326095    1.061830719    6.557137885    520.5955614    33553060.46    4.756139597    8.560271905     2.15074209     6999.28346 0.000272841523 
47           NO_ID    1.413846557    1.262505785    13.85315902    452.8994957    33374112.51    2.606330626    8.868338254     6.48100824     2980.79966  0.00102010648 
48           NO_ID   0.6254282258    1.170840025    12.50526831    510.4788209    30698566.18    9.978635692    7.059301175     2.70521659     18012.9913  0.00905596639 
49           NO_ID   0.9777523236   0.6272759423    5.369614805    467.4194553    32656201.62    1.710991858    14.72949436    0.890827607     24683.6087  0.00115878428 
50           NO_ID   0.9643297595   0.9937992092    11.71783658    465.9384636       26549990    9.521980401    7.169863525     3.02800424     10698.8839  0.00317482892 
51           NO_ID    1.248531465   0.7933330024    6.997119942    517.9601584    27332990.89    5.393474104    13.34675768     2.07743263     12807.7615  0.00108754039 
52           NO_ID   0.9156893134    1.148324439    5.872446688    507.3591361    24001335.51    1.304151026    11.83736932     1.81302413     6694.73259 0.000292427289 
53           NO_ID    1.126988945   0.6092364618    7.812933474    457.5058309    32127222.46    8.806430014    12.91509723      1.4202754     25353.4793  0.00306835129 
54           NO_ID   0.5374586967   0.5830504133    7.286601216    513.7965025    24522538.45    6.853846845    12.18527533    0.678927827     64432.4297  0.00865658385 
55           NO_ID   0.9052892966   0.9228532974    5.105503293    471.9527806    33631285.83    2.365785561    12.83252848     1.16496647     11863.2467 0.000290660709 
56           NO_ID   0.9436570493   0.6437115603    13.16822243    503.3900666    28397496.86    3.148698184    11.70458589     2.33020191     21255.9855   0.0150732035 
57           NO_ID     1.30452623   0.8966361539    9.678009058    545.8861833    24936699.24    2.118745692    6.576513909     3.57613126     4595.49281  0.00102859873 
58           NO_ID    1.129648303   0.7275649419    12.08050868    544.7393526    32909439.21    8.123573181    9.528232292      3.1300066     14810.1839   0.0049778342 
59           NO_ID   0.8001843933    0.674061244    7.241430888    509.1696069    30502494.61    2.908069133    8.144629569     1.15088667     17483.8146   0.0017072286 
60           NO_ID   0.7696561806    1.428314353    9.816894937    480.9990712    30099756.62    1.617348906    8.839039439     3.00396733     4524.56105 0.000585694145 
61           NO_ID   0.7451259336    1.218360728    9.165543963    518.6500091    32202554.32    7.140463182    7.354341216     2.49743657     10322.9347  0.00145195611 
62           NO_ID    1.264830683    1.142744021    8.647364752    474.1720037     29509766.8    3.770728611    7.443267034      3.4297092     3941.41221 0.000374031222 
63           NO_ID    1.379563981   0.8761381206    14.41676492    525.1292597    30999081.05    1.413981635    9.887545705     5.29547254     6110.91468  0.00412728793 
64           NO_ID   0.5213951952    1.357912481    9.562566473     541.684997    26020347.91    5.723339692    11.18391136     2.12234675     16282.0604  0.00415968895 
65           NO_ID   0.5969336941   0.5920305822    14.00664737    504.7016075    27608703.35    8.386158815    8.083189812     1.44575725     47031.9587   0.0371200682 
66           NO_ID     1.09626124   0.9440135279    10.73608183    530.4100892    28716322.65    9.785928053    14.91230371     3.41040635     14333.9601  0.00309965505 
67           NO_ID   0.7114553168   0.8056714567    8.369092092    454.3626832    29236946.11    2.224222084    7.711903367     1.26137109     13292.0474  0.00177232914 
68           NO_ID   0.5545405492    1.197028059    9.975858142    478.9323082    26851494.04    8.916681931    5.644181778     1.83534748     18795.9161  0.00651946935 
69           NO_ID    1.464973137   0.9301699188    7.570082119    533.1043817    27054445.47    6.477700087    10.88872512      3.1824461     7101.28224 0.000609155125 
70           NO_ID   0.7908259611    1.014382344    12.88775071     526.029089    24795128.37    1.872066004    14.51403388     3.14721019     12472.3103   0.0062071548 
