%eval_id interface              w              t              L              p              E              X              Y           mass         stress   displacement 
40           NO_ID   0.9980474733    1.178645922    4.317369601    407.6945198    28204096.75    56.36477451    90.83434381     1.19824306      68113.581 0.000838959708 
41           NO_ID    1.059465526    1.169599312    4.087257748    571.6333746    27370751.39     51.4659593    98.87070861     1.67544354     64452.7775 0.000689257798 
42           NO_ID   0.8691165568   0.9805448676    4.838981449    485.8695778    24326497.29    54.13135732    84.97249507     1.15951246     104862.908  0.00248752587 
43           NO_ID   0.8230399559    0.805711142    4.234709229    403.1083537    30397050.52    44.69861321    102.0650644     0.65509147     163755.661  0.00256949427 
44           NO_ID   0.9821970666   0.9225965584    4.282892411    590.2746048    33278345.88    55.30946624    112.1324046     1.32573887     117760.476  0.00149717128 
45           NO_ID    1.035725015    1.015619802    5.583416324    426.9276987    27540203.97    59.35769348    94.54545871     1.45106288     85788.3451  0.00257319054 
46           NO_ID   0.9252352965    1.132578421    5.027124853     473.350869    26036731.45    49.04887956    116.1677551     1.44304405     89081.8122  0.00199602855 
47           NO_ID   0.9017924902    0.859938439    4.507452574    552.2195516    30126486.68    43.77484637     104.797748     1.11705147     131846.561  0.00237691299 
48           NO_ID   0.9932395643    0.889843055    5.939980491    580.8707677    26997819.94    47.17671662     81.8849847     1.76477047     94715.0962  0.00400291803 
49           NO_ID   0.9272608166     1.17178243    4.406161802    408.9953447    27186645.96    40.48755936    89.75627553     1.13314101     66409.4149 0.000933198391 
50           NO_ID    1.109272583   0.9846651009    5.539856602    532.3051962    33899948.92    58.38512072    114.9204565     1.86398458     93023.7778  0.00234491233 
51           NO_ID    1.194435384    1.061032726    4.386287644    555.9521207    31314680.91    48.57561151    101.2783395     1.78847223     64444.3019 0.000818162988 
52           NO_ID    1.131768369   0.8237081875    4.652906989    453.8544129     31144323.7    50.26581206    91.13096282     1.13927385     99790.2139  0.00194191513 
53           NO_ID   0.8328790202    0.816443647    5.185099967    595.4508013    25811350.92     48.0298119    99.70768678     1.21497521     158639.938  0.00523654243 
54           NO_ID    1.005866859   0.9920272548    4.756327992    466.8134796    33993741.35    53.95862045    107.2841958     1.28214029       97283.61  0.00153990145 
55           NO_ID   0.9457000833   0.8502950478    4.772472584    490.8551877    25641698.43    53.34424612    83.28594489     1.09012467     115173.726  0.00273545517 
56           NO_ID    1.078345249    1.105634084    5.850300992    584.3359905    28378679.19    40.85796448    119.7400039     2.35866551      73569.489  0.00246339356 
57           NO_ID   0.9387418156   0.8947732927    4.892077645    577.1101789    34370310.04    51.41344757    89.33734661      1.3723583     110442.271  0.00204259441 
58           NO_ID    1.090601748     1.11071536     4.20061166     476.202328    24944950.93    51.86286485    88.82263894     1.40226236      63164.278 0.000825874866 
59           NO_ID    1.071447693   0.9198672315    5.073459768     457.157765    29694180.88    49.51568437    98.35698178     1.32288687     93226.8384  0.00221294904 
60           NO_ID      1.0663911    1.043987803    5.984345085    570.1143981    25440299.17    57.82372229    105.3446881     2.19809692     83605.4421  0.00330561339 
61           NO_ID    1.146275987   0.9311581544    5.488749643    560.9746979    30660794.57    46.40794803    81.57745651     1.90189091     72006.0303   0.0020311201 
62           NO_ID    1.100627259    1.126506591    5.767686936    469.6122712    29459957.86    59.58230581    82.31020619     1.94344108     61555.9389  0.00171037553 
63           NO_ID   0.9360497529   0.8303016779    4.033617955    508.3732126    26691584.12    57.22027781     118.059004    0.922292189      156960.87  0.00231924357 
64           NO_ID   0.9862731932    1.047264763    5.737173491    451.1094287    32150337.83    48.51542311    103.3888317     1.54699842     85922.1209  0.00242587508 
65           NO_ID    1.177195583   0.8431872806    4.288490709    599.5246052    27659313.92    42.23920144    94.91591792     1.47686371     89733.8934  0.00157356319 
66           NO_ID    1.139881046   0.8982903596    4.937062291    482.1944468    24769741.88     58.0250863    113.9677611     1.41066322     104171.518  0.00281130673 
67           NO_ID    1.040747527   0.8520125383    4.813955105    587.4524786    28077489.75    44.16336644    111.7685917     1.45118377     117476.221  0.00285470988 
68           NO_ID   0.8479566817    1.119432429     4.00198572    567.1284979    32009187.21    50.95385561    83.85459782     1.24676562     85331.2291 0.000822417765 
69           NO_ID    1.167830552      1.1591531    5.446746631    498.3838158    24567178.07    52.60927086    113.0725367     2.12656176     63203.1551  0.00179921975 
70           NO_ID     1.12310028   0.9531268651    4.739101702    437.4527301    29262807.09    46.66504513    110.9457865     1.28425915      88533.461  0.00173435256 
